Category,Part Name,Specification,Quantity (Total),Notes,Prusa Reference,McMaster-Carr PN
Bearings & Pulleys,"6. Nextruder assembly132Prusa CORE One kit assemblySTEP 15 Assembling the Idler-swivel: parts preparationFor the following steps, please prepare:Idler-swivel",,2,"found in the Electronics packageIdler-nut (1x) found in the Electronics packageM3x30 screw (2x)M3x20rT screw (2x)M3nN nut (2x)Spring 15x5 (2x) found in the Electronics packageSpacer 6x3.1x8 (1x) found in the Electronics packageSTEP 16 Assembling the Idler-swivelPush the M3x20rT screw all the way through one of the idler-swivel.Slide the spacer onto the screw.Place the second idler-swivel from the opposite side on the screw.From the other side, attach the M3nN nut onto the screw. Hold the nut using theuniversal wrench and tighten the screw. Tighten just lightly! The spacer mustrotate freely.",,
Fasteners,"2. Base assembly22Prusa CORE One kit assemblySTEP 3 Inserting the zip tiesTurn the bottom panel so that the bends of the plate are facing upwards.Note the twin holes for the zip ties around the perimeter of the panel.Insert six zip ties through the holes, placing them along both sides and partiallytightening them, engaging only the first few teeth.Do not fully tightem them yet, as we will route cables through them later.Note: The orientation of the zip tie heads (inside or outside the metal sheet)doesn't matter.STEP 4 Base assembly: parts preparationFor the following steps, please prepare:Z-axis left motor",Nylon cable tie ≈100–150 mm,2,"found in the Motor set box.One Z-axis left motor is packed separately in the Electronics & chamber partspackage.For now, keep the trapezoidal nuts in the motor package.Z-axis right motor (1x) found in the Motor set boxZ-motor-mount (3x) found in the Printed parts packageMotor washer (3x) found in the Electronics & Chamber parts packageZ-rod-mount (2x) found in the Printed parts packageM3x8 screw (24x); 2. Base assemblyPrusa CORE One kit assembly23STEP 5 Installing the motor mountsAttach one transparent motor washer pad on each Z motor.Place one Z-motor-mount on each motor washer. The protrusions on the part mustbe facing upwards.Align holes with all the parts.Join all parts together with four M3x8 screws.Follow the same procedure for all motors.STEP 6 Installing the rear motorTurn the bottom panel upside down.Locate the circle hole in the middle of the panel back side.Take the Z motor right - the motor with the longest cable. Labeled ZR on the cable.Push the motor threaded rod through the panel and align the holes in the panelwith the holes in the motor assembly.The motor cable must point outwards (towards you).Push both Z-axis motor left through the bottom panel.The motor cables must point to the rear motor side.In the following instructions, we will refer to the front and rear sides of theassembly. The front side has TWO motors, while the rear side has ONE motor. Wewill remind you along the way, but it’s good to keep this in mind :).",,
Fasteners,"2. Base assemblyPrusa CORE One kit assembly21STEP 1 Tools necessary for this chapterFor this chapter, please prepare:Wrench 13-162.5mm Allen keyT10 torx key / T10 torx screwdriverSTEP 2 Base assembly: parts preparationFor the following steps, please prepare:Bottom panel",,1,found in the Metal parts 1/3 packageZip tie (6x) found in the Electronics & Fasteners package,,
Fasteners,"2. Base assemblyPrusa CORE One kit assembly25STEP 9 Installing the front motor leftLet's move to the front left motor (from the front view).Ensure, the motor cable still points to the rear side.Insert the rod-mount into the opening next to the front right Z motor.Use the 13-16 wrench to rotate the rod mount 90 degrees, locking it into place.Secure the motor using four M3x8 screws. Tighten them completely.Make sure the screws stay straight and do not tilt as you tighten them.Place the whole assembly aside for a while.STEP 10 Bottom frame: parts preparationFor the following steps, please prepare:Be very careful when handling sharp sheet metal parts to avoid injury or damage.Metal sheet profiles may look identical at first glance, but there are somedifferences. DOUBLE-CHECK to pick the correct ones.Front profile",M3 × 8 mm socket head cap screw,1,notice the cutouts - found in the Metal parts 1/3 packageRear profile (1x) with two holes on the flat side - found in the Metal parts 1/3packageUniversal profile (2x) no holes on the flat side - found in the Metal parts 1/3packageSpacer pin (2x) found in the Electronics & Fasteners packageM3x4rT screw (4x),,91290A102
Fasteners,"3. Back assembly40Prusa CORE One kit assemblySTEP 13 Inserting grommets: xBuddy boxInsert both grommets into both circle holes in the xBuddy box.Gently compress the grommet and fit it into the metal sheet, ensuring the groovelocks into placeSTEP 14 Wi-Fi: parts preparationFor the following steps, please prepare:ESP-WiFi",,1,found in the Electronics packageCORE-One-Wifi-cover (1x) found in the Printed parts packageM3x12 screw (1x)M3x6 screw (2x),,
Fasteners,"3. Back assemblyPrusa CORE One kit assembly33STEP 1 Tools necessary for this chapterFor this chapter, please prepare:Philips (PH2) screwdriverNeedle-nose pliers2.5mm Allen keyT10 torx key / T10 torx screwdriverSTEP 2 PSU assembly: parts preparationFor the following steps, please prepare:Delta PSU 240 W 24 V",,1,power supplyM4x6r screw (2x) from the Others packagexBuddy power cables (2x) found in the Electronics packagePower panic cable (1x) found in the Electronics package,,
Fasteners,"3. Back assemblyPrusa CORE One kit assembly45STEP 23 Mounting the xBuddy boxGently slide the xBuddy box assembly so that the position of the screws moves tothe end position of the keyhole-shaped holes.Maintain the xBuddy box position and fully tighten both screws.Fix the PSU and xBuddy box assembly to the back panel by tightening two M3x4rTscrews.STEP 24 Power cables cover: parts preparationFor the following steps, please prepare:PSU-cable-cover",,1,found in the Printed parts packageM3nS nut (2x)M3x10rT screw (2x)6-32 Power Terminal Screw (4x),,
Fasteners,"3. Back assemblyPrusa CORE One kit assembly47STEP 27 Covering the PSU cablesAttach the PSU-cable-cover on thePSU cables.Secure the cover with two M3x10rTscrews in the outermost holes ofthe part.STEP 28 Chamber fans: parts preparationFor the following steps, please prepare:Fan grid",,1,found in the Electronics & Chamber parts packageChamber thermistor 260 mm (1x) found in the Electronics & Chamber parts packageZip tie (1x)Cooling fan (2x) found in the Electronics & Chamber parts packageM3x30 screw (4x),,
Fasteners,"3. Back assemblyPrusa CORE One kit assembly51STEP 34 Mounting the back panelSlightly lift the back assembly and gently place it on the base assembly and rearprofiles.Insert one nylon rivet through the rear panel and rear profile on the top right side.Push the rivet head with your finger until it is fully seated.Use this procedure for all eleven nylon rivets around the back panel assembly tosecure it in place.Insert and tighten the 2.9x6.5 self-tapping screw into the back panel. Avoidovertightening to prevent stripping the self-tapped thread.STEP 35 Stepper splitter: parts preparationFor the following steps, please prepare:Stepper splitter",,1,found in the Electronics & Chamber parts packageStepper splitter cable (1x) found in the Electronics & Fasteners package,,
Fasteners,"3. Back assemblyPrusa CORE One kit assembly53STEP 38 Mounting the Stepper SplitterLocate two spacer pins in the bottom frame.From the inside of the frame, prepare the Stepper splitter and attach its holesopposite the pins.Check the correct orientation of the part by the logo on the board. The logo isupside down.Push the aligned Stepper Splitter onto the pins until you feel a click - this securesthe Stepper Splitter. Push in the center of the board.It is necessary to apply a significant pressure to seat the part in. Yet, be verycareful not to damage the components.STEP 39 LCD cable: parts preparationFor the following steps, please prepare:xLCD cable",,1,found in the Electronics & Fasteners packageMain FE cable (1x) found in the Electronics & Fasteners package,,
Fasteners,"3. Back assemblyPrusa CORE One kit assembly57STEP 46 FE cable - xBuddy: parts preparationFor the following steps, pleaseprepare:M3w washer",,1,M3x6 screw (1x)STEP 47 Connecting the FE cable: xBuddyPut the printer back on its feet. And focus on the rear side.Take the connector number 4 and connect it to the xBuddy using the M3x6 screwand M3w washer.The M3 washer must be between the screw head and the connector.Guide the FE cable (number 5) alongside the xBuddy box and pass it through theright-side holes out of the box.Guide the Stepper splitter cable alongside the xBuddy box and connect it to thesecond slot from the right in the top row on the xBuddy board (labeled ZR).,,
